Model,MAE,RMSE,MAPE
Naive,5.734285714285713,7.867935480808082,26.38395977330847
"Seasonal
Naive",5.33468253968254,7.49243242550733,24.990784903097843
MA-20,4.2176944444444455,6.773267318704831,18.177066223182287
SARIMAX,5.466408982853453,7.672637904125707,24.907595179506085
Prophet,4.798739600589109,6.056095765449041,25.88677153210125
"Random
Forest",1.5297010631843997,2.880159596835465,6.876836128696098
"Gradient
Boosting",1.5555385922938625,2.780295493216145,7.077323966055015
LightGBM,1.6896490003033682,2.9428148078049943,7.999527967826908
XGBoost,1.4927029821692237,2.680547749333329,6.808298412394824
DAI (H2O),1.52,1.665076574815705,7.0
